invoice_id,vendor,container,charge_type,invoice_amount,contract_amount,expected_amount,variance,evidence_documents,contract_clause,confidence,decision,recommended_action,audit_note
INV-2026-10011,MSC Mediterranean Shipping,MSCU1000011,OCEAN_FREIGHT,2050.0,2050.0,2050.0,0.0,Invoice INV-2026-10011,Contract MSA-MSC-2025-14 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10012,DP World Logistics,DP U1000012,OCEAN_FREIGHT,3580.0,3580.0,3580.0,0.0,Invoice INV-2026-10012,Contract MSA-DPW-2025-01 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10013,Maersk Line,MAEU1000013,OCEAN_FREIGHT,3600.0,3600.0,3600.0,0.0,Invoice INV-2026-10013,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10014,MSC Mediterranean Shipping,MSCU1000014,OCEAN_FREIGHT,3500.0,3500.0,3500.0,0.0,Invoice INV-2026-10014,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10015,CMA CGM,CMAU1000015,OCEAN_FREIGHT,2080.0,2080.0,2080.0,0.0,Invoice INV-2026-10015,Contract MSA-CMA-2025-88 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10016,CMA CGM,CMAU1000016,OCEAN_FREIGHT,3550.0,3550.0,3550.0,0.0,Invoice INV-2026-10016,Contract MSA-CMA-2025-88 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10017,Hapag-Lloyd,HAPU1000017,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10017,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10018,MSC Mediterranean Shipping,MSCU1000018,OCEAN_FREIGHT,900.0,900.0,900.0,0.0,Invoice INV-2026-10018,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10019,Hapag-Lloyd,HAPU1000019,OCEAN_FREIGHT,4300.0,4300.0,4300.0,0.0,Invoice INV-2026-10019,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10020,MSC Mediterranean Shipping,MSCU1000020,OCEAN_FREIGHT,2050.0,2050.0,2050.0,0.0,Invoice INV-2026-10020,Contract MSA-MSC-2025-14 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10021,Hapag-Lloyd,HAPU1000021,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10021,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10022,Maersk Line,MAEU1000022,OCEAN_FREIGHT,950.0,950.0,950.0,0.0,Invoice INV-2026-10022,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10023,Maersk Line,MAEU1000023,OCEAN_FREIGHT,4200.0,4200.0,4200.0,0.0,Invoice INV-2026-10023,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10024,Hapag-Lloyd,HAPU1000024,OCEAN_FREIGHT,3700.0,3700.0,3700.0,0.0,Invoice INV-2026-10024,Contract MSA-HL-2025-03 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10025,Hapag-Lloyd,HAPU1000025,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10025,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10026,CMA CGM,CMAU1000026,OCEAN_FREIGHT,3550.0,3550.0,3550.0,0.0,Invoice INV-2026-10026,Contract MSA-CMA-2025-88 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10027,Maersk Line,MAEU1000027,OCEAN_FREIGHT,950.0,950.0,950.0,0.0,Invoice INV-2026-10027,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10028,Maersk Line,MAEU1000028,OCEAN_FREIGHT,3600.0,3600.0,3600.0,0.0,Invoice INV-2026-10028,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10029,Hapag-Lloyd,HAPU1000029,OCEAN_FREIGHT,3700.0,3700.0,3700.0,0.0,Invoice INV-2026-10029,Contract MSA-HL-2025-03 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10030,Hapag-Lloyd,HAPU1000030,OCEAN_FREIGHT,3700.0,3700.0,3700.0,0.0,Invoice INV-2026-10030,Contract MSA-HL-2025-03 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10031,MSC Mediterranean Shipping,MSCU1000031,OCEAN_FREIGHT,2750.0,2750.0,2750.0,0.0,Invoice INV-2026-10031,Contract MSA-MSC-2025-14 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10032,Maersk Line,MAEU1000032,OCEAN_FREIGHT,2100.0,2100.0,2100.0,0.0,Invoice INV-2026-10032,Contract MSA-MAE-2025-09 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10033,Hapag-Lloyd,HAPU1000033,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10033,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10034,MSC Mediterranean Shipping,MSCU1000034,OCEAN_FREIGHT,2750.0,2750.0,2750.0,0.0,Invoice INV-2026-10034,Contract MSA-MSC-2025-14 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10035,CMA CGM,CMAU1000035,OCEAN_FREIGHT,4150.0,4150.0,4150.0,0.0,Invoice INV-2026-10035,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10036,CMA CGM,CMAU1000036,OCEAN_FREIGHT,4150.0,4150.0,4150.0,0.0,Invoice INV-2026-10036,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10037,MSC Mediterranean Shipping,MSCU1000037,OCEAN_FREIGHT,4100.0,4100.0,4100.0,0.0,Invoice INV-2026-10037,Contract MSA-MSC-2025-14 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10038,Hapag-Lloyd,HAPU1000038,OCEAN_FREIGHT,2150.0,2150.0,2150.0,0.0,Invoice INV-2026-10038,Contract MSA-HL-2025-03 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10039,Hapag-Lloyd,HAPU1000039,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10039,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10040,DP World Logistics,DP U1000040,OCEAN_FREIGHT,2090.0,2090.0,2090.0,0.0,Invoice INV-2026-10040,Contract MSA-DPW-2025-01 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10041,DP World Logistics,DP U1000041,OCEAN_FREIGHT,2090.0,2090.0,2090.0,0.0,Invoice INV-2026-10041,Contract MSA-DPW-2025-01 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10042,MSC Mediterranean Shipping,MSCU1000042,OCEAN_FREIGHT,900.0,900.0,900.0,0.0,Invoice INV-2026-10042,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10043,CMA CGM,CMAU1000043,OCEAN_FREIGHT,4150.0,4150.0,4150.0,0.0,Invoice INV-2026-10043,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10044,DP World Logistics,DP U1000044,OCEAN_FREIGHT,2090.0,2090.0,2090.0,0.0,Invoice INV-2026-10044,Contract MSA-DPW-2025-01 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10045,Hapag-Lloyd,HAPU1000045,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10045,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10046,MSC Mediterranean Shipping,MSCU1000046,OCEAN_FREIGHT,2750.0,2750.0,2750.0,0.0,Invoice INV-2026-10046,Contract MSA-MSC-2025-14 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10047,Hapag-Lloyd,HAPU1000047,OCEAN_FREIGHT,980.0,980.0,980.0,0.0,Invoice INV-2026-10047,Contract MSA-HL-2025-03 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10048,Hapag-Lloyd,HAPU1000048,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10048,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10049,MSC Mediterranean Shipping,MSCU1000049,OCEAN_FREIGHT,3500.0,3500.0,3500.0,0.0,Invoice INV-2026-10049,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10050,Hapag-Lloyd,HAPU1000050,OCEAN_FREIGHT,2150.0,2150.0,2150.0,0.0,Invoice INV-2026-10050,Contract MSA-HL-2025-03 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10051,CMA CGM,CMAU1000051,OCEAN_FREIGHT,920.0,920.0,920.0,0.0,Invoice INV-2026-10051,Contract MSA-CMA-2025-88 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10052,CMA CGM,CMAU1000052,OCEAN_FREIGHT,2080.0,2080.0,2080.0,0.0,Invoice INV-2026-10052,Contract MSA-CMA-2025-88 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10053,Hapag-Lloyd,HAPU1000053,OCEAN_FREIGHT,2150.0,2150.0,2150.0,0.0,Invoice INV-2026-10053,Contract MSA-HL-2025-03 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10054,MSC Mediterranean Shipping,MSCU1000054,OCEAN_FREIGHT,3500.0,3500.0,3500.0,0.0,Invoice INV-2026-10054,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10055,DP World Logistics,DP U1000055,OCEAN_FREIGHT,4180.0,4180.0,4180.0,0.0,Invoice INV-2026-10055,Contract MSA-DPW-2025-01 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10056,DP World Logistics,DP U1000056,OCEAN_FREIGHT,930.0,930.0,930.0,0.0,Invoice INV-2026-10056,Contract MSA-DPW-2025-01 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10057,DP World Logistics,DP U1000057,OCEAN_FREIGHT,930.0,930.0,930.0,0.0,Invoice INV-2026-10057,Contract MSA-DPW-2025-01 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10058,Hapag-Lloyd,HAPU1000058,OCEAN_FREIGHT,2150.0,2150.0,2150.0,0.0,Invoice INV-2026-10058,Contract MSA-HL-2025-03 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10059,MSC Mediterranean Shipping,MSCU1000059,OCEAN_FREIGHT,3500.0,3500.0,3500.0,0.0,Invoice INV-2026-10059,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10060,CMA CGM,CMAU1000060,OCEAN_FREIGHT,2800.0,2800.0,2800.0,0.0,Invoice INV-2026-10060,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10061,Maersk Line,MAEU1000061,OCEAN_FREIGHT,2850.0,2850.0,2850.0,0.0,Invoice INV-2026-10061,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10062,MSC Mediterranean Shipping,MSCU1000062,OCEAN_FREIGHT,2050.0,2050.0,2050.0,0.0,Invoice INV-2026-10062,Contract MSA-MSC-2025-14 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10063,CMA CGM,CMAU1000063,OCEAN_FREIGHT,3550.0,3550.0,3550.0,0.0,Invoice INV-2026-10063,Contract MSA-CMA-2025-88 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10064,Maersk Line,MAEU1000064,OCEAN_FREIGHT,950.0,950.0,950.0,0.0,Invoice INV-2026-10064,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10065,CMA CGM,CMAU1000065,OCEAN_FREIGHT,3550.0,3550.0,3550.0,0.0,Invoice INV-2026-10065,Contract MSA-CMA-2025-88 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10066,CMA CGM,CMAU1000066,OCEAN_FREIGHT,3550.0,3550.0,3550.0,0.0,Invoice INV-2026-10066,Contract MSA-CMA-2025-88 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10067,Hapag-Lloyd,HAPU1000067,OCEAN_FREIGHT,3700.0,3700.0,3700.0,0.0,Invoice INV-2026-10067,Contract MSA-HL-2025-03 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10068,Maersk Line,MAEU1000068,OCEAN_FREIGHT,2850.0,2850.0,2850.0,0.0,Invoice INV-2026-10068,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10069,DP World Logistics,DP U1000069,OCEAN_FREIGHT,4180.0,4180.0,4180.0,0.0,Invoice INV-2026-10069,Contract MSA-DPW-2025-01 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10070,Hapag-Lloyd,HAPU1000070,OCEAN_FREIGHT,2900.0,2900.0,2900.0,0.0,Invoice INV-2026-10070,Contract MSA-HL-2025-03 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10071,Hapag-Lloyd,HAPU1000071,OCEAN_FREIGHT,980.0,980.0,980.0,0.0,Invoice INV-2026-10071,Contract MSA-HL-2025-03 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10072,MSC Mediterranean Shipping,MSCU1000072,OCEAN_FREIGHT,900.0,900.0,900.0,0.0,Invoice INV-2026-10072,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NHAVA_SHEVA_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10073,Maersk Line,MAEU1000073,OCEAN_FREIGHT,4200.0,4200.0,4200.0,0.0,Invoice INV-2026-10073,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10074,DP World Logistics,DP U1000074,OCEAN_FREIGHT,2090.0,2090.0,2090.0,0.0,Invoice INV-2026-10074,Contract MSA-DPW-2025-01 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10075,DP World Logistics,DP U1000075,OCEAN_FREIGHT,2820.0,2820.0,2820.0,0.0,Invoice INV-2026-10075,Contract MSA-DPW-2025-01 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10076,Hapag-Lloyd,HAPU1000076,OCEAN_FREIGHT,3700.0,3700.0,3700.0,0.0,Invoice INV-2026-10076,Contract MSA-HL-2025-03 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10077,DP World Logistics,DP U1000077,OCEAN_FREIGHT,2090.0,2090.0,2090.0,0.0,Invoice INV-2026-10077,Contract MSA-DPW-2025-01 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10078,MSC Mediterranean Shipping,MSCU1000078,OCEAN_FREIGHT,4100.0,4100.0,4100.0,0.0,Invoice INV-2026-10078,Contract MSA-MSC-2025-14 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10079,MSC Mediterranean Shipping,MSCU1000079,OCEAN_FREIGHT,3500.0,3500.0,3500.0,0.0,Invoice INV-2026-10079,Contract MSA-MSC-2025-14 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10080,DP World Logistics,DP U1000080,OCEAN_FREIGHT,2820.0,2820.0,2820.0,0.0,Invoice INV-2026-10080,Contract MSA-DPW-2025-01 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10081,DP World Logistics,DP U1000081,OCEAN_FREIGHT,4180.0,4180.0,4180.0,0.0,Invoice INV-2026-10081,Contract MSA-DPW-2025-01 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10082,CMA CGM,CMAU1000082,OCEAN_FREIGHT,2800.0,2800.0,2800.0,0.0,Invoice INV-2026-10082,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10083,Maersk Line,MAEU1000083,OCEAN_FREIGHT,4850.0,4200.0,4200.0,650.0,Invoice INV-2026-10083,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.98,AMBER,Issue Debit Memo / Dispute $650.00 overcharge,"Billed rate $4,850.00 exceeds contracted rate $4,200.00 by $650.00 without approved General Rate Increase (GRI)."
INV-2026-10084,MSC Mediterranean Shipping,MSCU1000084,OCEAN_FREIGHT,2600.0,2050.0,2050.0,550.0,Invoice INV-2026-10084,Contract MSA-MSC-2025-14 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.98,AMBER,Issue Debit Memo / Dispute $550.00 overcharge,"Billed rate $2,600.00 exceeds contracted rate $2,050.00 by $550.00 without approved General Rate Increase (GRI)."
INV-2026-10085,Hapag-Lloyd,HAPU1000085,OCEAN_FREIGHT,4450.0,3700.0,3700.0,750.0,Invoice INV-2026-10085,Contract MSA-HL-2025-03 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.98,AMBER,Issue Debit Memo / Dispute $750.00 overcharge,"Billed rate $4,450.00 exceeds contracted rate $3,700.00 by $750.00 without approved General Rate Increase (GRI)."
INV-2026-10086,CMA CGM,CMAU1000086,OCEAN_FREIGHT,3350.0,2800.0,2800.0,550.0,Invoice INV-2026-10086,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.98,AMBER,Issue Debit Memo / Dispute $550.00 overcharge,"Billed rate $3,350.00 exceeds contracted rate $2,800.00 by $550.00 without approved General Rate Increase (GRI)."
INV-2026-10087,Maersk Line,MAEU1000087,DEMURRAGE,1050.0,0.0,0.0,1050.0,"Invoice INV-2026-10087 + BOL BOL-2026-50087 (Discharge: 2026-08-01, Gate-out: 2026-08-03)","MSA Clause 8.2 (Demurrage: 4 Free Days, thereafter $150.00/day)",0.99,AMBER,"Dispute $1,050.00 unwarranted demurrage",Carrier charged for 7 days demurrage. Port gate records prove container dwelled only 2 days (0 chargeable days post 4 free days). Expected: $0.00.
